Match_ID,Team_A_Runs,Team_A_Wickets,Team_A_Overs,Team_B_Runs,Team_B_Wickets,Team_B_Overs,Winner,Margin
R1-1,34,5,6,51,4,6,Bengaluru Blasters,17 runs
R1-2,18,5,6,19,4,4,The Cluster XI,1 run
R1-3,65,3,6,16,6,6,Aura Strikers,49 runs
R1-4,36,5,6,45,3,6,Play Bold XI,9 runs
R1-5,41,4,6,32,5,6,Data Warriors,9 runs
R1-6,19,6,6,42,2,6,Rising Stars,23 runs
R1-7,51,3,6,41,2,6,Royal Ciscoians Bengaluru RCB,10 runs
R1-8,30,6,6,56,5,6,Slog Squad,26 runs
R1-9,38,4,6,39,4,5.3,Lifecycle Cricket Team,6 wickets
R2-1,37,4,6,77,0,6,11 Daulath's,40 runs
R2-2,42,5,6,35,1,6,Play Bold XI,7 runs
QF2,54,6,8,54,5,8,Play Bold XI,Super Over
